Average Aggregation,Least Misery,Borda Count
The Lego Movie (2014),Heartbreak Ridge (1986),Memento (2000)
Show Me Love (Fucking Åmål) (1998),Ghost in the Shell (Kôkaku kidôtai) (1995),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)
Bound (1996),Once Were Warriors (1994),Casablanca (1942)
Pale Rider (1985),Beautiful Girls (1996),Star Wars: Episode V - The Empire Strikes Back (1980)
Rain (2001),It Happened One Night (1934),Monty Python and the Holy Grail (1975)
It Happened One Night (1934),Belle époque (1992),"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)"
Adam's Rib (1949),Harry Potter and the Prisoner of Azkaban (2004),"Godfather, The (1972)"
Gaslight (1944),Brooklyn (2015),Citizen Kane (1941)
"Odd Couple, The (1968)",Band of Brothers (2001),"Lord of the Rings: The Fellowship of the Ring, The (2001)"
Crossing Delancey (1988),Enchanted April (1992),Magnolia (1999)
