movieId,average_score,title,genres
108932,5.0,The Lego Movie (2014),Action|Adventure|Animation|Children|Comedy|Fantasy
7034,5.0,Show Me Love (Fucking Åmål) (1998),Drama|Romance
866,5.0,Bound (1996),Crime|Drama|Romance|Thriller
2401,5.0,Pale Rider (1985),Western
5328,5.0,Rain (2001),Drama|Romance
905,5.0,It Happened One Night (1934),Comedy|Romance
7121,5.0,Adam's Rib (1949),Comedy|Romance
906,5.0,Gaslight (1944),Drama|Thriller
3507,5.0,"Odd Couple, The (1968)",Comedy
4495,5.0,Crossing Delancey (1988),Comedy|Romance
6201,5.0,Lady Jane (1986),Drama|Romance
2476,5.0,Heartbreak Ridge (1986),Action|War
5416,5.0,Cherish (2002),Comedy|Drama|Thriller
3951,5.0,Two Family House (2000),Drama
43376,5.0,Sophie Scholl: The Final Days (Sophie Scholl - Die letzten Tage) (2005),Drama|War
1035,5.0,"Sound of Music, The (1965)",Musical|Romance
2565,5.0,"King and I, The (1956)",Drama|Musical|Romance
127108,5.0,Brooklyn (2015),Drama|Romance
4865,5.0,From Hell (2001),Crime|Horror|Mystery|Thriller
94,5.0,Beautiful Girls (1996),Comedy|Drama|Romance
