movieId,borda_score,title,genres
4226,7196,Memento (2000),Mystery|Thriller
750,7194,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War
912,7121,Casablanca (1942),Drama|Romance
1196,7108,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi
1136,7066,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy
4973,7052,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Comedy|Romance
858,7047,"Godfather, The (1972)",Crime|Drama
923,7047,Citizen Kane (1941),Drama|Mystery
4993,7011,"Lord of the Rings: The Fellowship of the Ring, The (2001)",Adventure|Fantasy
3160,7005,Magnolia (1999),Drama
1223,6958,"Grand Day Out with Wallace and Gromit, A (1989)",Adventure|Animation|Children|Comedy|Sci-Fi
1221,6917,"Godfather: Part II, The (1974)",Crime|Drama
3897,6886,Almost Famous (2000),Drama
318,6884,"Shawshank Redemption, The (1994)",Crime|Drama
2571,6871,"Matrix, The (1999)",Action|Sci-Fi|Thriller
1247,6864,"Graduate, The (1967)",Comedy|Drama|Romance
2716,6854,Ghostbusters (a.k.a. Ghost Busters) (1984),Action|Comedy|Sci-Fi
1225,6842,Amadeus (1984),Drama
1617,6819,L.A. Confidential (1997),Crime|Film-Noir|Mystery|Thriller
1197,6810,"Princess Bride, The (1987)",Action|Adventure|Comedy|Fantasy|Romance
