movieId,least_misery_score,title,genres
2476,5.0,Heartbreak Ridge (1986),Action|War
741,5.0,Ghost in the Shell (Kôkaku kidôtai) (1995),Animation|Sci-Fi
290,5.0,Once Were Warriors (1994),Crime|Drama
94,5.0,Beautiful Girls (1996),Comedy|Drama|Romance
905,5.0,It Happened One Night (1934),Comedy|Romance
6442,5.0,Belle époque (1992),Comedy|Romance
8368,5.0,Harry Potter and the Prisoner of Azkaban (2004),Adventure|Fantasy|IMAX
127108,5.0,Brooklyn (2015),Drama|Romance
170705,5.0,Band of Brothers (2001),Action|Drama|War
1177,5.0,Enchanted April (1992),Drama|Romance
6201,5.0,Lady Jane (1986),Drama|Romance
5416,5.0,Cherish (2002),Comedy|Drama|Thriller
1035,5.0,"Sound of Music, The (1965)",Musical|Romance
1277,5.0,Cyrano de Bergerac (1990),Comedy|Drama|Romance
4117,5.0,Hope and Glory (1987),Drama
4865,5.0,From Hell (2001),Crime|Horror|Mystery|Thriller
4973,5.0,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Comedy|Romance
7121,5.0,Adam's Rib (1949),Comedy|Romance
417,5.0,Barcelona (1994),Comedy|Romance
5292,5.0,Slap Shot (1977),Comedy
